"Plot","Forest","PlotSurface","AGBdead","AGBext","AGBdam","AGB0","RatioDam"
"chb 1","chb",1,77.5873692421474,17.8175063805745,59.7698628615729,294.796663497548,0.215791915477347
"chb 2","chb",1,8.43842523563998,1.29687390533538,7.1415513303046,229.741602798841,0.0312616157304018
"chb 3","chb",1,23.2272318746681,1.31807628359527,21.9091555910728,278.149766933108,0.0791425126930688
"chb 5","chb",1,45.8018215452338,13.9673637565865,31.8344577886473,335.266830990357,0.0990803317002863
"chb 7","chb",1,41.6663984224809,11.0218992630299,30.644499159451,203.676165382529,0.159064731743044
"cum 2","cum",1,33.7597567441432,2.89372820030763,30.8660285438356,237.038136902957,0.131824751719926
"cum 3","cum",1,161.11450944565,38.3765126666948,122.737996778955,397.127451884946,0.342125924593845
"cum 4","cum",1,90.0861232519852,21.7485511935589,68.3375720584262,257.414677109182,0.289976218656446
"cum 6","cum",1,43.0591324426438,6.86939338697913,36.1897390556647,235.098032463568,0.158567913308724
"inp 1N","inp",4,94.7473626582653,44.7941375185409,49.9532251397244,485.158321912644,0.113436166949987
"inp 2N","inp",4,76.229367411698,27.5560141964713,48.6733532152267,480.122651591319,0.107549583184942
"ira 10","ira",1,97.932501892091,19.6521642140246,78.2803376780664,222.599214024454,0.385718037050487
"ira 11","ira",1,51.0614910016022,2.91260514044446,48.1488858611577,148.408140039709,0.330930333322559
"ira 13","ira",1,67.7419750641209,7.89683197766819,59.8451430864527,201.891556591406,0.30848850764169
"ira 14","ira",1,61.6398627628378,7.64878077845016,53.9910819843876,203.670927254606,0.275433582148612
"ira 15","ira",1,52.391372016963,5.1963476871672,47.1950243297958,193.371924334757,0.250803133810406
"ira 16","ira",1,56.5559233904468,7.41831303758425,49.1376103528625,205.833714686462,0.247650182115489
"ira 17","ira",1,63.9670852812381,10.5242334205915,53.4428518606466,201.269587596756,0.280179048614148
"ira 18","ira",1,43.3073813827152,2.94896770139804,40.3584136813172,215.357526829344,0.190003707228233
"ira 19","ira",1,77.0371557004439,1.00705658664714,76.0300991137968,251.182998443596,0.303906516947465
"ira 2","ira",1,63.2840427785522,4.53097936573705,58.7530634128151,249.085001671691,0.240245745536383
"ira 20","ira",1,38.5508741584094,5.66439751477123,32.8864766436382,190.916964099409,0.177522380660854
"ira 22","ira",1,60.2152591323656,4.43756682261144,55.7776923097541,281.31981818791,0.201449143217797
"ira 25","ira",1,67.0611054939193,7.30606653801381,59.7550389559054,210.67708439466,0.293822785496536
"ira 26","ira",1,35.6232514442346,2.9581678778575,32.6650835663771,223.21509465771,0.148304455364648
"ira 27","ira",1,46.2488676811585,9.37033655983816,36.8785311213204,241.822658446534,0.158649872033957
"ira 29","ira",1,52.1026754060324,1.98711771567577,50.1155576903567,216.094501419653,0.234067395637536
"ira 3","ira",1,27.503816439805,3.82113975892618,23.6826766808789,192.804226927866,0.125316381670218
"ira 30","ira",1,88.2800507756299,4.19362814142172,84.0864226342082,222.034546929861,0.38599921034978
"ira 4","ira",1,84.5335135294393,8.39003423776366,76.1434792916757,250.728267090851,0.314203328113877
"ira 5","ira",1,76.1603529331191,13.8366055116761,62.323747421443,314.906324703077,0.207007691071786
"ira 6","ira",1,40.1819605103668,3.11856754481503,37.0633929655518,230.995538239478,0.162646505491833
"ira 7","ira",1,60.2634904584278,2.59611476051175,57.667375697916,199.385591645524,0.293040952243661
"ita B1","ita",1,61.5750315424805,10.1108619360963,51.4641696063842,447.589705342727,0.117638076405329
"ita B10","ita",1,114.383074747282,20.6381077196331,93.7449670276486,366.817867499612,0.27079852122848
"ita B11","ita",1,102.885163373043,25.1894989702692,77.695664402774,341.71988337484,0.245460367253299
"ita B12","ita",1,118.254903369662,25.8574116859594,92.3974916837029,382.15288655191,0.259328277235252
"ita B13","ita",1,130.280476329282,30.8585525970629,99.4219237322187,477.238970445566,0.222729133619749
"ita B14","ita",1,40.6387251867204,3.05710460498831,37.5816205817321,316.300550683772,0.119975760234357
"ita B2","ita",1,123.740080846206,24.7427989491512,98.997281897055,428.477563385642,0.245203759045198
"ita B3","ita",1,130.414902234793,17.2502107132825,113.164691521511,343.077923984544,0.347314506753751
"ita B5","ita",1,165.60759489014,28.0875574087484,137.520037481391,448.937338996752,0.326767515388705
"ita B6","ita",1,108.899877482425,27.1209849461685,81.7788925362567,383.221677759353,0.229651034627891
"ita B7","ita",1,66.9274928928119,6.40024886404406,60.5272440287678,357.744775074387,0.172273194865519
"ita B8","ita",1,105.480336672436,25.8054205901302,79.6749160823055,383.508856364997,0.222740147602193
"ita B9","ita",1,36.2038674776846,4.44317542002099,31.7606920576636,294.929671908948,0.109336208194016
"ita C1","ita",1,75.9991480125594,8.69047430798575,67.3086737045736,329.877117113481,0.20956249337347
"ita C10","ita",1,37.5124455403399,6.36199365767092,31.150451882669,291.586107772346,0.109213949105807
"ita C11","ita",1,31.2171974726193,2.33886122984644,28.8783362427728,371.167525006712,0.0782974293457942
"ita C13","ita",1,27.8444734284382,4.66344871138253,23.1810247170557,350.092369992475,0.0671079440339975
"ita C2","ita",1,79.024039971394,7.48415287781019,71.5398870935838,334.740329154713,0.218605154859022
"ita C4","ita",1,52.8657823551788,9.58268048106894,43.2831018741099,391.067892069085,0.11345944891005
"ita C6","ita",1,118.134222672769,14.5549495704104,103.579273102358,479.913184784655,0.222579649965089
"ita C7","ita",1,16.5500611705483,1.44053079731297,15.1095303732353,312.420437418449,0.0485868380931862
"ita C8","ita",1,85.3830678767784,21.1779588446885,64.2051090320899,377.505375830277,0.180185711150839
"ita C9","ita",1,51.3487241127274,5.21632461251997,46.1323995002074,236.467862875191,0.199490130300483
"ita D1","ita",1,83.3728916905308,17.2881712120943,66.0847204784366,437.841831827718,0.157137427793873
"ita D11","ita",1,34.6727580410765,2.92555247790638,31.7472055631701,429.600835923768,0.0744060103664249
"ita D12","ita",1,137.194596748411,25.154173753971,112.04042299444,393.789964395966,0.303932569323551
"ita D13","ita",1,54.2254515549782,5.88637945678073,48.3390720981975,388.829213708379,0.126230517389543
"ita D14","ita",1,138.416148412561,35.5326798391864,102.883468573375,506.835026226913,0.218296109412398
"ita D2","ita",1,40.488910357185,7.96462739740682,32.5242829597782,414.217942544958,0.0800591201279562
"ita D3","ita",1,73.5911330448246,12.6104733959577,60.9806596488669,417.165163565243,0.150735268013701
"ita D4","ita",1,145.387294920682,29.4012801396457,115.986014781037,480.057975365659,0.257371112001049
"ita D5","ita",1,132.04081843798,20.7562485909965,111.284569846984,472.233255053832,0.24649000559045
"ita D6","ita",1,58.1379225865411,11.0011600221606,47.1367625643805,375.644061996294,0.129268284969178
"ita D7","ita",1,106.663710113588,17.0174841503598,89.6462259632283,497.166791120077,0.186704895043996
"ita D8","ita",1,48.8899054344646,8.08908252506416,40.8008229094005,444.377247694812,0.0935180602332543
"ita D9","ita",1,74.6207573069189,13.7819177585134,60.8388395484055,381.944070689001,0.165250118905873
"jar 102","jar",1,190.365929942113,65.0141993997423,125.35173054237,451.774381983293,0.32410712422624
"jar 106","jar",1,46.1480692370088,12.3347204540301,33.8133487829787,327.233672534673,0.107378409993309
"jar 107","jar",1,53.3299788726622,14.5600049225897,38.7699739500725,292.384338017316,0.139548518008513
"jar 111","jar",1,77.1169507468974,23.3175040037556,53.7994467431417,350.743277649318,0.1643103600066
"jar 201","jar",1,34.5209215069385,8.46242764412884,26.0584938628097,386.29195813991,0.0689689178837244
"jar 205","jar",1,131.871995359326,32.938706093509,98.933289265817,412.687841186363,0.260522750740766
"jar 209","jar",1,125.536526038047,39.4017672210453,86.1347588170014,360.19849337832,0.268502611759114
"jar 301","jar",1,90.4299785547091,28.1242824748096,62.3056960798995,337.86627955276,0.20115352993033
"jar 303","jar",1,65.8705258760093,20.0860508655523,45.784475010457,238.995882321391,0.209147641775482
"jar 305","jar",1,38.0783956707332,8.19333422962412,29.885061441109,290.801734041084,0.105747251182366
"jar 308","jar",1,87.3304177164944,20.222815310023,67.1076024064714,305.118978454278,0.235551092250028
"jar 311","jar",1,69.0924923835116,18.5387297527648,50.5537626307468,338.173386954427,0.158161080132345
"lch 1N","lch",4,86.8674318427165,14.6945156548318,72.1729161878847,459.046974468243,0.162422677665864
"lch 2N","lch",4,143.126703480459,55.6671819536409,87.4595215268183,587.238157013647,0.164530280301601
"lch 3N","lch",4,164.82026983673,49.3410020363869,115.479267800343,712.163654251948,0.174223478051543
"pet 12","pet",0.25,65.3687779443725,7.68942670970612,57.6793512346664,284.931106150863,0.208047185945967
"pet 17","pet",0.25,198.72035849181,67.5780441673111,131.142314324499,416.243807598329,0.376126158857708
"pet 18","pet",0.25,59.0594682264197,16.0728879388171,42.9865802876027,392.167470422953,0.114297260023457
"pet 20","pet",0.25,103.614612541989,26.7570826357555,76.8575299062336,266.338056216846,0.320799806250974
"pet 23","pet",0.25,103.616776318891,31.7536929507442,71.8630833681471,483.685624623883,0.159013068853303
"pet 26","pet",0.25,151.622906536243,37.8200355371566,113.802870999086,425.199524671886,0.293776191540967
"pet 27","pet",0.25,16.6252152885102,2.81570877592623,13.809506512584,451.853890274356,0.0307535240466679
"pet 30","pet",0.25,14.433230227532,3.07004081619763,11.3631894113344,403.904009194189,0.0283488683788863
"pet 31","pet",0.25,226.145020227213,67.7458575111388,158.399162716074,472.162796281748,0.391672918541922
"pet 34","pet",0.25,69.3674738644109,9.68611095555524,59.6813629088557,360.469390866485,0.170137421954689
"pet 6","pet",0.25,200.007377914,70.7258390376136,129.281538876387,535.772706858692,0.277996795209309
"prc 2","prc",6.25,117.098021212483,25.4448154522548,91.6532057602278,372.664148272555,0.263963429155202
"prc 7","prc",6.25,98.9238400489737,17.8745034959716,81.0493365530021,401.938734980148,0.21103068161228
"prc 9","prc",6.25,100.211075087769,18.7773077808628,81.4337673069062,389.030045246573,0.219941026943651
"tbc 1","tbc",1,34.9048575180486,8.19926790458985,26.7055896134587,196.373994342059,0.141919109537449
"tbc 2","tbc",1,44.1838576429013,4.12719700107608,40.0566606418252,197.118431923541,0.207556890642822
"tbc 3","tbc",1,29.9596138833989,2.99811210015388,26.961501783245,178.43469946952,0.153682320133599
"tbc 4","tbc",1,22.6311131628268,1.36700753919633,21.2641056236304,132.461771815446,0.16220407993428
"tbc 5","tbc",1,43.3969058141909,7.44800346709647,35.9489023470944,174.338039234828,0.215404725523135
"tbc 6","tbc",1,23.4475210850347,4.17676987220116,19.2707512128336,163.143875474014,0.121224772507991
"tpj 110","tpj",0.25,89.6276334643765,19.8715200516753,69.7561134127012,305.044285474791,0.244610011440618
"tpj 111","tpj",0.25,206.457995315619,68.087832348466,138.370162967153,433.241544899852,0.378936755155354
"tpj 112","tpj",0.25,268.815662333879,31.8262507523881,236.989411581491,425.999772530225,0.601231179894073
"tpj 204","tpj",0.25,100.916148968279,25.7412118043503,75.1749371639284,317.362923705974,0.25778237386278
"tpj 205","tpj",0.25,88.8974331150665,20.4167133598161,68.4807197552503,447.286582031853,0.160425283631026
"tpj 206","tpj",0.25,73.8901037414182,25.6014843494049,48.2886193920134,327.464515339645,0.1599686428431
"tpj 304","tpj",0.25,121.431658710858,23.655269614806,97.7763890960525,371.665453019161,0.280958413744018
"tpj 306","tpj",0.25,78.9795503203181,30.12575860986,48.8537917104581,333.610407041969,0.160976154684763
"tpj 401","tpj",0.25,144.455007588283,52.6045440836945,91.8504635045881,351.191803074195,0.307616821344378
"tpj 402","tpj",0.25,129.272048024214,36.1427943921386,93.1292536320751,381.930532950279,0.269324915974186
"tpj 403","tpj",0.25,204.035557391693,70.8009653725149,133.234592019178,508.110228121281,0.304669037151681
